"nces_cd","name","locale","district_size","num_schools","num_students","frl_percent","address","city","zip","county","postal_cd","latitude","longitude","exclude_from_analysis","ia_bandwidth_per_student","meeting_2014_goal_no_oversub","meeting_2018_goal_oversub","monthly_ia_cost_per_mbps","total_ia_bw_mbps","total_ia_monthly_cost","gt_1g_wan_lines","lt_1g_fiber_wan_lines","lt_1g_nonfiber_wan_lines","meeting_2014_goal_no_oversub_fcc_25","meeting_2018_goal_oversub_fcc_25","meeting_goals_district","exclude","not_all_scalable","new_connect_type_goals","c1_discount_rate","zero_build_cost_to_district","n_schools_wan_needs","n_schools_in_wan_needs_calculation","schools_on_fiber","schools_may_need_upgrades","schools_need_upgrades"
100006,"MARSHALL COUNTY","Rural","Large",16,5598,0.698070175,"12380 US HWY 431 SOUTH","GUNTERSVILLE",35976,"MARSHALL COUNTY","AL",34.305013,-86.286718,FALSE,142.91,"Meeting Goal","Not Meeting 2018 Goals",6.015833333,800.01018,4812.727908,15,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,16,0,0
800001,"CHEYENNE COUNTY SCHOOL DISTRICT NO. RE-5","Rural","Small",3,173,0.344827586,"395 NORTH 5TH WEST","CHEYENNE WELLS",80810,"CHEYENNE COUNTY","CO",38.824805,-102.353136,TRUE,2387.28,"Meeting Goal","Meeting 2018 Goals",0.9225,412.99944,380.9919834,0,2,0,TRUE,TRUE,1,"Dirty",0,"Fiber",70,0,0,0,3,0,0
500001,"DEWITT SCHOOL DISTRICT","Rural","Small",4,1295,0.645259939,"422 WEST FIRST","DEWITT",72042,"ARKANSAS COUNTY","AR",34.29481,-91.339451,FALSE,134.36,"Meeting Goal","Not Meeting 2018 Goals",34.67166667,173.9962,6032.738248,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,4,0,0
400001,"CAVE CREEK UNIFIED DISTRICT","Urban","Small",4,3015,0.076257436,"33606 NORTH 60TH ST","SCOTTSDALE",85266,"MARICOPA COUNTY","AZ",33.791509,-111.952075,FALSE,99.5,"Not Meeting Goal","Not Meeting 2018 Goals",17.44333333,299.9925,5232.869175,1,6,0,FALSE,FALSE,0,"Clean",0,"Fiber",40,0,0,0,4,0,0
100007,"HOOVER CITY","Urban","Large",17,13697,0.247239175,"2810 METROPOLITAN WAY","HOOVER",35243,"JEFFERSON COUNTY","AL",33.40715,-86.766011,FALSE,219.03,"Meeting Goal","Not Meeting 2018 Goals",2.963333333,3000.05391,8890.159753,18,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",50,0,0,0,17,0,0
400003,"CHINO VALLEY UNIFIED DISTRICT","Small Town","Small",4,2269,0.574847694,"650 EAST CENTER ST","CHINO VALLEY",86323,"YAVAPAI COUNTY","AZ",34.74637,-112.453791,FALSE,440.72,"Meeting Goal","Not Meeting 2018 Goals",7.139166667,999.99368,7139.121547,3,0,28,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,4,0,0
100008,"MADISON CITY","Suburban","Medium",11,9299,0.203626667,"211 CELTIC DR","MADISON",35758,"MADISON COUNTY","AL",34.687317,-86.744908,FALSE,105.39,"Meeting Goal","Not Meeting 2018 Goals",7.203333333,980.02161,7059.422331,14,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",50,0,0,0,11,0,0
600001,"ACTON-AGUA DULCE UNF","Rural","Small",4,1377,0.344357977,"32248 NORTH CROWN VALLEY RD","ACTON",93510,"LOS ANGELES COUNTY","CA",34.471778,-118.197162,TRUE,14.52,"Not Meeting Goal","Not Meeting 2018 Goals",109.5166667,19.99404,2189.680614,0,3,0,FALSE,FALSE,0,"Dirty",1,"Other / Uncategorized",70,0,0,0,3,1,0
500006,"WARREN SCHOOL DISTRICT","Small Town","Small",4,1063,0.756159191,"408 CHERRY","WARREN",71671,"BRADLEY COUNTY","AR",33.617593,-92.068742,TRUE,NA,"Not Meeting Goal","Not Meeting 2018 Goals",NA,NA,NA,2,0,0,FALSE,FALSE,0,"Dirty",0,"Other / Uncategorized",80,1,0,0,4,0,0
100011,"LEEDS CITY","Suburban","Small",3,1776,0.552280311,"8121 PARKWAY DR","LEEDS",35094,"JEFFERSON COUNTY","AL",33.54302,-86.541451,FALSE,225.23,"Meeting Goal","Not Meeting 2018 Goals",7.2475,400.00848,2899.061459,0,0,1,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,0,0,1,2,0
100012,"BOAZ CITY","Small Town","Small",5,2134,0.609480813,"126 NEWT PARKER DR","BOAZ",35957,"MARSHALL COUNTY","AL",34.21285,-86.161149,FALSE,318.65,"Meeting Goal","Not Meeting 2018 Goals",9.995833333,679.9991,6797.15767,12,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,5,0,0
600006,"ROSS VALLEY ELEM","Suburban","Small",5,2226,0.122192273,"110 SHAW DR","SAN ANSELMO",94960,"MARIN COUNTY","CA",37.981777,-122.562032,FALSE,134.77,"Meeting Goal","Not Meeting 2018 Goals",4.755833333,299.99802,1426.740583,0,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",40,0,0,0,1,4,0
500009,"CORNING SCHOOL DISTRICT","Small Town","Small",3,989,0.707722385,"479 BOBCAT LN","CORNING",72422,"CLAY COUNTY","AR",36.417759,-90.579339,FALSE,333.67,"Meeting Goal","Not Meeting 2018 Goals",20.25833333,329.99963,6685.242504,0,5,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,3,0,0
800016,"YUMA 1 SCHOOL DISTRICT","Small Town","Small",3,768,0.638480392,"418 SOUTH MAIN ST","YUMA",80759,"YUMA COUNTY","CO",40.122089,-102.723893,FALSE,143.23,"Meeting Goal","Not Meeting 2018 Goals",25.07833333,110.00064,2758.632717,0,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,0,0,2,1,0
800017,"WRAY RD-2 SCHOOL DISTRICT","Rural","Small",3,692,0.550607287,"30222 COUNTY RD 35","WRAY",80758,"YUMA COUNTY","CO",40.0754,-102.242366,FALSE,289.02,"Meeting Goal","Not Meeting 2018 Goals",13.475,200.00184,2695.024794,0,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,0,0,1.5,1.5,0
400004,"CLARKDALE-JEROME ELEMENTARY DISTRICT","Small Town","Tiny",1,454,0.553846154,"1615 MAIN ST","CLARKDALE",86324,"YAVAPAI COUNTY","AZ",34.76709,-112.066581,FALSE,110.13,"Meeting Goal","Not Meeting 2018 Goals",44.11833333,49.99902,2205.873431,0,0,28,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,1,0,0
600009,"CUYAMA JOINT UNF","Rural","Small",3,240,0.8,"2300 HWY 166","NEW CUYAMA",93254,"SANTA BARBARA COUNTY","CA",34.932744,-119.609216,FALSE,18.75,"Not Meeting Goal","Not Meeting 2018 Goals",633.3333333,4.5,2850,0,0,0,FALSE,FALSE,0,"Clean",1,"Copper",90,1,0,0,0,0,3
500012,"RIVERSIDE SCHOOL DISTRICT","Rural","Small",3,817,0.647953216,"601 CATFISH DR","LAKE CITY",72437,"CRAIGHEAD COUNTY","AR",35.816608,-90.437947,FALSE,122.4,"Meeting Goal","Not Meeting 2018 Goals",15,100.0008,1500.012,0,3,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,3,0,0
800018,"IDALIA RJ-3 SCHOOL DISTRICT","Rural","Small",2,155,0.532258065,"26845 COUNTY RD 9.2","IDALIA",80735,"YUMA COUNTY","CO",39.704229,-102.293731,FALSE,2838.71,"Meeting Goal","Meeting 2018 Goals",0.735,440.00005,323.4000368,1,1,0,TRUE,TRUE,1,"Clean",0,"Fiber",80,1,0,0,2,0,0
400005,"SALOME CONSOLIDATED ELEMENTARY DISTRICT","Rural","Tiny",1,98,0.96969697,"38128 SAGUARO","SALOME",85348,"LA PAZ COUNTY","AZ",34.228961,-113.576731,FALSE,255.1,"Meeting Goal","Not Meeting 2018 Goals",68.66666667,24.9998,1716.652933,0,0,0,FALSE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,1,0,0
600011,"FORT SAGE UNF","Rural","Small",5,197,0.54180602,"100 DS HALL ST","HERLONG",96113,"LASSEN COUNTY","CA",40.141907,-120.13399,FALSE,507.61,"Meeting Goal","Not Meeting 2018 Goals",25.01833333,99.99917,2501.812568,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,5,0,0
800019,"LIBERTY J-4 SCHOOL DISTRICT","Rural","Small",2,69,0.2125,"9332 HWY 36","JOES",80822,"YUMA COUNTY","CO",39.656016,-102.624289,FALSE,5811.59,"Meeting Goal","Meeting 2018 Goals",0.650833333,400.99971,260.9839779,1,1,0,TRUE,TRUE,1,"Clean",0,"Fiber",60,0,0,0,2,0,0
600012,"TWIN RIDGES ELEM","Rural","Small",4,97,0.762886598,"16661 OLD MILL RD","NEVADA CITY",95959,"NEVADA COUNTY","CA",39.3741,-120.994831,TRUE,20618.56,"Meeting Goal","Meeting 2018 Goals",2.508333333,2000.00032,5016.667469,0,2,6,TRUE,TRUE,1,"Dirty",0,"Fiber",90,1,0,0,4,0,0
500015,"SHERIDAN SCHOOL DISTRICT","Small Town","Medium",6,4183,0.506685433,"400 NORTH ROCK","SHERIDAN",72150,"GRANT COUNTY","AR",34.309999,-92.398984,FALSE,143.44,"Meeting Goal","Not Meeting 2018 Goals",9.175,600.00952,5505.087346,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,6,0,0
500016,"MARMADUKE SCHOOL DISTRICT","Rural","Small",2,714,0.639097744,"1010 GREYHOUND DR","MARMADUKE",72443,"GREENE COUNTY","AR",36.193092,-90.393206,FALSE,28.01,"Not Meeting Goal","Not Meeting 2018 Goals",68.95,19.99914,1378.940703,0,0,0,FALSE,FALSE,0,"Clean",1,"Fiber",80,1,0,0,1,1,0
500017,"PARAGOULD SCHOOL DISTRICT","Small Town","Small",5,2489,0.662534435,"1501 WEST COURT ST","PARAGOULD",72450,"GREENE COUNTY","AR",36.056337,-90.505294,FALSE,120.53,"Meeting Goal","Not Meeting 2018 Goals",8.253333333,299.99917,2475.99315,0,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,0,0,1.25,3.75,0
400021,"COLORADO CITY UNIFIED DISTRICT","Rural","Small",4,376,0.647196262,"325 NORTH COTTONWOOD ST","COLORADO CITY",86021,"MOHAVE COUNTY","AZ",36.996391,-113.002949,FALSE,265.96,"Meeting Goal","Not Meeting 2018 Goals",21.13166667,100.00096,2113.186953,0,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,0,0,2,2,0
500019,"BATESVILLE SCHOOL DISTRICT","Rural","Medium",6,2914,0.532191564,"955 WATER ST","BATESVILLE",72501,"INDEPENDENCE COUNTY","AR",35.775848,-91.646065,FALSE,34.32,"Not Meeting Goal","Not Meeting 2018 Goals",18,100.00848,1800.15264,0,5,0,FALSE,FALSE,0,"Clean",0,"Fiber",80,1,0,0,6,0,0
100013,"TRUSSVILLE CITY","Suburban","Small",4,4233,0.103945193,"113 NORTH CHALKVILLE RD","TRUSSVILLE",35173,"JEFFERSON COUNTY","AL",33.62074,-86.607971,TRUE,236.24,"Meeting Goal","Not Meeting 2018 Goals",5.333333333,1000.00392,5333.35424,0,0,0,TRUE,FALSE,1,"Dirty",1,"Fiber",40,0,0,0,1.33333333333333,2.66666666666667,0
500020,"MIDLAND SCHOOL DISTRICT","Rural","Small",2,526,0.7319933,"7249 BATESVILLE BLVD","PLEASANT PLAINS",72568,"INDEPENDENCE COUNTY","AR",35.545105,-91.621843,FALSE,1140.68,"Meeting Goal","Meeting 2018 Goals",14.09333333,599.99768,8455.967303,0,0,0,TRUE,TRUE,1,"Clean",0,"Fiber",80,1,0,0,2,0,0
400022,"VERNON ELEMENTARY DISTRICT","Rural","Tiny",1,112,NA,"90 CRN 3139","VERNON",85940,"APACHE COUNTY","AZ",34.253504,-109.692177,FALSE,223.21,"Meeting Goal","Not Meeting 2018 Goals",132.6691667,24.99952,3316.665485,0,0,0,TRUE,FALSE,1,"Clean",1,"Cable",80,1,0,0,0,1,0
500021,"IZARD CO. CONS. SCHOOL DIST.","Rural","Small",3,503,0.729323308,"HWY 9 NORTH","BROCKWELL",72517,"IZARD COUNTY","AR",36.156151,-91.921278,FALSE,198.81,"Meeting Goal","Not Meeting 2018 Goals",27.32833333,100.00143,2732.872413,0,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",90,1,0,0,2,1,0
400023,"PINON UNIFIED DISTRICT","Rural","Small",3,1281,0.860700389,"NAVAJO HWY 41","PINON",86510,"NAVAJO COUNTY","AZ",36.197865,-110.223523,FALSE,93.68,"Not Meeting Goal","Not Meeting 2018 Goals",140.4208333,120.00408,16851.07292,0,0,9,FALSE,FALSE,0,"Clean",1,"Fixed Wireless",90,1,0,0,0,3,0
400026,"HEBER-OVERGAARD UNIFIED DISTRICT","Rural","Small",4,478,0.645962733,"3375 BUCKSKIN CANYON RD","HEBER",85928,"NAVAJO COUNTY","AZ",34.42708,-110.596761,FALSE,83.68,"Not Meeting Goal","Not Meeting 2018 Goals",60.68916667,39.99904,2427.508405,0,0,2,FALSE,FALSE,0,"Clean",1,"Fiber",80,1,0,0,1,1,2
500023,"NEWPORT SCHOOL DISTRICT","Small Town","Small",3,1332,0.751738526,"406 WILKERSON DR","NEWPORT",72112,"JACKSON COUNTY","AR",35.601966,-91.270961,FALSE,195.95,"Meeting Goal","Not Meeting 2018 Goals",44.21083333,261.0054,11539.26624,1,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,3,0,0
600013,"ROCKLIN UNF","Suburban","Large",17,11307,0.204116921,"2615 SIERRA MEADOWS DR","ROCKLIN",95677,"PLACER COUNTY","CA",38.79213,-121.222161,FALSE,88.44,"Not Meeting Goal","Not Meeting 2018 Goals",5.4225,999.99108,5422.451631,22,0,0,FALSE,FALSE,0,"Clean",0,"Fiber",50,0,0,0,17,0,0
600014,"HESPERIA UNF","Suburban","Large",25,21181,0.721638924,"15576 MAIN ST","HESPERIA",92345,"SAN BERNARDINO COUNTY","CA",34.42517,-117.322341,TRUE,NA,"Not Meeting Goal","Not Meeting 2018 Goals",NA,NA,NA,22,0,0,FALSE,FALSE,0,"Dirty",1,"Other / Uncategorized",80,1,0,0,23.9130434782609,1.08695652173913,0
600015,"LUCERNE VALLEY UNF","Small Town","Small",5,787,0.478032294,"8560 ALIENTO RD","LUCERNE VALLEY",92356,"SAN BERNARDINO COUNTY","CA",34.40792,-116.911033,TRUE,NA,"Not Meeting Goal","Not Meeting 2018 Goals",NA,NA,NA,3,0,0,FALSE,FALSE,0,"Dirty",0,"Other / Uncategorized",90,1,0,0,5,0,0
600016,"UPLAND UNF","Suburban","Medium",14,11902,0.513359099,"390 NORTH EUCLID AVE","UPLAND",91786,"SAN BERNARDINO COUNTY","CA",34.09819,-117.650561,FALSE,84.02,"Not Meeting Goal","Not Meeting 2018 Goals",6.6075,1000.00604,6607.539909,14,0,0,FALSE,FALSE,0,"Clean",0,"Fiber",80,1,0,0,14,0,0
100030,"ALEXANDER CITY","Small Town","Small",5,3174,0.511342155,"375 LEE ST","ALEXANDER CITY",35010,"TALLAPOOSA COUNTY","AL",32.941042,-85.958504,FALSE,315.06,"Meeting Goal","Not Meeting 2018 Goals",4.214166667,1000.00044,4214.168521,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,5,0,0
600017,"APPLE VALLEY UNF","Suburban","Medium",15,13299,0.611478878,"12555 NAVAJO RD","APPLE VALLEY",92308,"SAN BERNARDINO COUNTY","CA",34.479916,-117.190137,TRUE,150.73,"Meeting Goal","Not Meeting 2018 Goals",3.799166667,2004.55827,7615.650961,12,0,0,TRUE,FALSE,1,"Dirty",1,"Fiber",80,1,0,0,13.9285714285714,0,1.07142857142857
600018,"MOUNTAIN VALLEY UNF","Rural","Small",5,340,0.781065089,"231 OAK AVE","HAYFORK",96041,"TRINITY COUNTY","CA",40.55181,-123.169731,TRUE,8.94,"Not Meeting Goal","Not Meeting 2018 Goals",230.8366667,3.0396,701.651132,0,0,0,FALSE,FALSE,0,"Dirty",1,"DSL",90,1,0,0,0,2.5,2.5
500026,"PINE BLUFF SCHOOL DISTRICT","Urban","Medium",10,4452,0.856777494,"512 SOUTH PINE ST","PINE BLUFF",71601,"JEFFERSON COUNTY","AR",34.22471,-92.004474,FALSE,269.54,"Meeting Goal","Not Meeting 2018 Goals",9.265833333,1199.99208,11118.92661,9,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,10,0,0
600019,"DUBLIN UNF","Suburban","Medium",11,7325,0.091740614,"7471 LARKDALE AVE","DUBLIN",94568,"ALAMEDA COUNTY","CA",37.716323,-121.930747,TRUE,136.52,"Meeting Goal","Not Meeting 2018 Goals",2.965,1000.009,2965.026685,8,0,0,FALSE,FALSE,1,"Dirty",1,"Other / Uncategorized",40,0,0,0,8.8,2.2,0
500028,"STAR CITY SCHOOL DISTRICT","Rural","Small",3,1607,0.635658915,"206 CLEVELAND ST","STAR CITY",71667,"LINCOLN COUNTY","AR",33.941,-91.841531,FALSE,155.57,"Meeting Goal","Not Meeting 2018 Goals",10.6,250.00099,2650.010494,0,0,0,TRUE,FALSE,1,"Clean",1,"Fixed Wireless",80,1,0,0,0,3,0
600020,"PLEASANTON UNF","Urban","Large",16,14854,0.060118487,"4665 BERNAL AVE","PLEASANTON",94566,"ALAMEDA COUNTY","CA",37.65445,-121.884221,FALSE,67.32,"Not Meeting Goal","Not Meeting 2018 Goals",7.060833333,999.97128,7060.630546,15,0,0,FALSE,FALSE,0,"Clean",0,"Fiber",40,0,0,0,16,0,0
500029,"GOSNELL SCHOOL DISTRICT","Small Town","Small",2,1376,0.6875,"600 HWY 181","GOSNELL",72315,"MISSISSIPPI COUNTY","AR",35.959866,-89.965008,FALSE,109.01,"Meeting Goal","Not Meeting 2018 Goals",15,149.99776,2249.9664,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,2,0,0
600021,"SUNOL GLEN UNF","Rural","Tiny",1,273,0.054945055,"11601 MAIN ST","SUNOL",94586,"ALAMEDA COUNTY","CA",37.592682,-121.884703,FALSE,36.63,"Not Meeting Goal","Not Meeting 2018 Goals",217.9208333,9.99999,2179.206154,0,0,0,FALSE,FALSE,0,"Clean",0,"Fiber",50,0,0,0,1,0,0
500030,"NEVADA SCHOOL DISTRICT","Rural","Small",2,375,0.765333333,"6580 US HWY 278","ROSSTON",71858,"NEVADA COUNTY","AR",33.59187,-93.295441,FALSE,266.67,"Meeting Goal","Not Meeting 2018 Goals",12,100.00125,1200.015,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,2,0,0
600022,"MENDOTA UNF","Rural","Medium",6,2978,0.969106783,"115 MCCABE AVE","MENDOTA",93640,"FRESNO COUNTY","CA",36.761008,-120.38699,TRUE,671.59,"Meeting Goal","Meeting 2018 Goals",2.871666667,1999.99502,5743.319032,4,0,4,TRUE,TRUE,1,"Dirty",0,"Fiber",90,1,0,0,6,0,0
600025,"MANHATTAN BEACH UNF","Suburban","Medium",8,6801,0.024408175,"325 SOUTH PECK AVE","MANHATTAN BEACH",90266,"LOS ANGELES COUNTY","CA",33.877328,-118.387479,FALSE,191.15,"Meeting Goal","Not Meeting 2018 Goals",6.261666667,1300.01115,8140.236484,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",40,0,0,0,8,0,0
600026,"EL TEJON UNF","Rural","Small",4,826,0.52992383,"4337 LEBEC RD","LEBEC",93243,"KERN COUNTY","CA",34.869004,-118.883651,TRUE,3631.96,"Meeting Goal","Meeting 2018 Goals",2.498333333,2999.99896,7494.997402,0,0,0,TRUE,TRUE,1,"Dirty",0,"Fiber",80,1,0,0,4,0,0
500032,"BEARDEN SCHOOL DISTRICT","Rural","Small",2,568,0.75528169,"100 OAK AVE","BEARDEN",71720,"OUACHITA COUNTY","AR",33.726798,-92.621086,FALSE,352.11,"Meeting Goal","Not Meeting 2018 Goals",15.18916667,199.99848,3037.810246,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,2,0,0
100060,"ANDALUSIA CITY","Small Town","Small",3,1756,0.553530752,"122 6TH AVE","ANDALUSIA",36420,"COVINGTON COUNTY","AL",31.31043,-86.476811,FALSE,227.79,"Meeting Goal","Not Meeting 2018 Goals",10.19583333,399.99924,4078.325585,3,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,3,0,0
600027,"LAKE ELSINORE UNF","Suburban","Large",24,21504,0.602197703,"545 CHANEY ST","LAKE ELSINORE",92530,"RIVERSIDE COUNTY","CA",33.68274,-117.335972,FALSE,46.5,"Not Meeting Goal","Not Meeting 2018 Goals",6.641666667,999.936,6641.2416,23,0,10,FALSE,FALSE,0,"Clean",0,"Fiber",80,1,0,0,24,0,0
600028,"TEMECULA VALLEY UNF","Urban","Large",29,28706,0.201504355,"31350 RANCHO VISTA RD","TEMECULA",92592,"RIVERSIDE COUNTY","CA",33.504067,-117.113064,FALSE,34.84,"Not Meeting Goal","Not Meeting 2018 Goals",7.695,1000.11704,7695.900623,28,0,0,FALSE,FALSE,0,"Clean",0,"Fiber",50,0,0,0,29,0,0
100090,"ANNISTON CITY","Urban","Medium",9,2028,0.90443686,"4804 MCCLELLAN BLVD","ANNISTON",36206,"CALHOUN COUNTY","AL",33.707096,-85.821662,FALSE,197.24,"Meeting Goal","Not Meeting 2018 Goals",7.6925,400.00272,3077.020924,0,6,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,9,0,0
600029,"MURRIETA VALLEY UNF","Suburban","Large",20,22929,0.334598107,"41870 MCALBY CT.","MURRIETA",92562,"RIVERSIDE COUNTY","CA",33.52984,-117.185591,TRUE,43.61,"Not Meeting Goal","Not Meeting 2018 Goals",6.971666667,999.93369,6971.204375,19,0,0,FALSE,FALSE,0,"Dirty",0,"Fiber",50,0,0,0,20,0,0
100100,"ARAB CITY","Rural","Small",4,2518,0.377900118,"750 ARABIAN DR NE","ARAB",35016,"MARSHALL COUNTY","AL",34.327848,-86.488295,FALSE,317.71,"Meeting Goal","Not Meeting 2018 Goals",8.060833333,799.99378,6448.616528,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",70,0,0,0,4,0,0
600031,"BIG SUR UNF","Rural","Tiny",1,21,0.376623377,"69325 HWY ONE","BIG SUR",93920,"MONTEREY COUNTY","CA",35.918391,-121.467925,TRUE,NA,"Not Meeting Goal","Not Meeting 2018 Goals",NA,NA,NA,0,0,0,FALSE,FALSE,0,"Dirty",1,"Other / Uncategorized",80,1,0,0,0,1,0
100120,"ATHENS CITY","Small Town","Medium",7,3179,0.520436817,"313 EAST WASHINGTON ST","ATHENS",35611,"LIMESTONE COUNTY","AL",34.802255,-86.967463,FALSE,251.65,"Meeting Goal","Not Meeting 2018 Goals",3.316666667,799.99535,2653.317911,8,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,7,0,0
600032,"REDONDO BEACH UNF","Suburban","Medium",13,8925,0.204369748,"1401 INGLEWOOD AVE","REDONDO BEACH",90278,"LOS ANGELES COUNTY","CA",33.886225,-118.361772,FALSE,112.04,"Meeting Goal","Not Meeting 2018 Goals",5.036666667,999.957,5036.45009,1,9,0,TRUE,FALSE,1,"Clean",1,"Fiber",70,0,0,0,11.9166666666667,1.08333333333333,0
600033,"DOS PALOS ORO LOMA JOINT UNF","Small Town","Medium",8,2265,0.869200177,"2041 ALMOND ST","DOS PALOS",93620,"MERCED COUNTY","CA",36.984795,-120.628316,FALSE,441.5,"Meeting Goal","Not Meeting 2018 Goals",2.135833333,999.9975,2135.827994,4,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",90,1,0,0,6.66666666666667,1.33333333333333,0
600034,"WINDSOR UNF","Suburban","Medium",7,4277,0.375513118,"9291 OLD REDWOOD HWY BLDG. 5","WINDSOR",95492,"SONOMA COUNTY","CA",38.54943,-122.814051,FALSE,23.38,"Not Meeting Goal","Not Meeting 2018 Goals",8.608333333,99.99626,860.8011382,0,7,1,FALSE,FALSE,0,"Clean",0,"Fiber",60,0,0,0,7,0,0
500041,"WESTERN YELL CO. SCHOOL DIST.","Rural","Small",2,449,0.8,"1 WOLVERINE DR","HAVANA",72842,"YELL COUNTY","AR",35.10915,-93.524281,FALSE,155.9,"Meeting Goal","Not Meeting 2018 Goals",3.426666667,69.9991,239.8635827,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,0,0,2,0,0
600035,"FARMERSVILLE UNF","Suburban","Medium",6,2646,0.939909297,"571 EAST CITRUS","FARMERSVILLE",93223,"TULARE COUNTY","CA",36.30657,-119.201941,FALSE,75.59,"Not Meeting Goal","Not Meeting 2018 Goals",21.88,200.01114,4376.243743,0,0,4,FALSE,FALSE,0,"Clean",1,"Fiber",90,1,0,0,1.2,4.8,0
500042,"HAMBURG SCHOOL DISTRICT","Small Town","Small",5,1896,0.770628684,"202 EAST PARKER ST","HAMBURG",71646,"ASHLEY COUNTY","AR",33.224168,-91.796661,FALSE,105.49,"Meeting Goal","Not Meeting 2018 Goals",14.8,200.00904,2960.133792,3,0,1,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,0,0,4,1,0
500043,"MOUNTAIN HOME SCHOOL DISTRICT","Small Town","Small",5,2776,0.54310559,"2465 RODEO DR","MOUNTAIN HOME",72653,"BAXTER COUNTY","AR",36.33386,-92.403121,TRUE,NA,"Not Meeting Goal","Not Meeting 2018 Goals",NA,NA,NA,0,0,0,FALSE,FALSE,0,"Dirty",1,"Other / Uncategorized",80,1,0,0,0,5,0
500044,"MAGNOLIA SCHOOL DISTRICT","Small Town","Small",4,2725,0.689630931,"1400 HIGH SCHOOL DR","MAGNOLIA",71753,"COLUMBIA COUNTY","AR",33.27935,-93.222671,FALSE,36.7,"Not Meeting Goal","Not Meeting 2018 Goals",12,100.0075,1200.09,0,3,0,FALSE,FALSE,0,"Clean",0,"Fiber",80,1,0,0,4,0,0
500045,"SO. MISS. COUNTY SCHOOL DIST.","Rural","Small",4,1302,0.766224189,"22 JEFFERSON","WILSON",72395,"MISSISSIPPI COUNTY","AR",35.561804,-90.041931,FALSE,192.01,"Meeting Goal","Not Meeting 2018 Goals",NA,249.99702,NA,0,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",90,1,0,0,1,3,0
100180,"ATTALLA CITY","Suburban","Small",3,1776,0.74268018,"101 CASE AVE","ATTALLA",35954,"ETOWAH COUNTY","AL",33.99564,-86.111111,FALSE,225.23,"Meeting Goal","Not Meeting 2018 Goals",4.65,400.00848,1860.039432,3,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,3,0,0
500046,"MANILA SCHOOL DISTRICT","Rural","Small",3,1024,0.643911439,"419 EAST OLYMPIA ST","MANILA",72442,"MISSISSIPPI COUNTY","AR",35.87995,-90.158419,FALSE,97.66,"Not Meeting Goal","Not Meeting 2018 Goals",15,100.00384,1500.0576,0,0,0,FALSE,FALSE,0,"Clean",1,"Fiber",80,1,0,0,1.5,1.5,0
600036,"NATOMAS UNF","Urban","Medium",13,9169,0.533756631,"1901 ARENA BLVD","SACRAMENTO",95834,"SACRAMENTO COUNTY","CA",38.6474,-121.503361,TRUE,NA,"Not Meeting Goal","Not Meeting 2018 Goals",NA,NA,NA,0,0,0,FALSE,FALSE,0,"Dirty",0,"Other / Uncategorized",80,1,0,0,13,0,0
